departamento,valle_del_cauca,vias_departamentales_decreto,nombre_v_a_decreto_no_0216,sub_region,micro_region,municipios,categor_a,longitud_m,longitud_km,escarpado,monta_oso,ondulado,plano,destapado,afirmado,pavimento_asfaltico,tratamiento_superficial,pavimento_r_gido,placa_huella,pavimento_articulado,otro,bueno,regular,malo,p_simo,intransitable
1,VALLE DEL CAUCA,3201,VIA SIMON BOLIVAR (KM21- KM 30 (BORRERO AYERBE) - QUEREMAL - DANUBIO - AGUA CLARA - BUENAVENTURA (EL PAILÓN)),Pacifico - Sur,Pacifico - Sur - Cali,Buenaventura - Dagua,2,109527.9864,109.5279864,39437.37185,7971.964578,23255.88884,38862.76106,6947.075249,44530.80186,51366.35425,99.57213041,6535.900022,48.28281136,0.0,0.0,39315.2793,38366.11978,23819.57179,8027.015451,0.0
2,VALLE DEL CAUCA,3401,PALMIRA - TIENDA NUEVA - POTRERILLO - VIA HACIA EL TOLIMA,Sur,Sur- Palmira,Palmira,2,54271.85935,54.27185935,17208.89374,4425.036263,10408.83545,22229.0939,0.0,42417.47882,11589.569,0.0,106.6078292,0.0,158.2037011,0.0,22757.31097,27560.59916,3696.565446,257.3837781,0.0
3,VALLE DEL CAUCA,05VL04,BUENAVENTURA (CRUCE RUTA 4001 GALLINERO) - CRUCE AGUA DULCE,Pacifico,Pacifico,Buenaventura,1,7136.523384,7.136523384,854.1621504,292.5468901,1075.826565,4913.987779,0.0,85.36760212,7051.155782,0.0,0.0,0.0,0.0,0.0,6297.291464,819.9253448,19.30657482,0.0,0.0
4,VALLE DEL CAUCA,05VL04-1,CRUCE  AGUA DULCE - BAHIA MALAGA,Pacifico,Pacifico,Buenaventura,2,97810.32093,97.81032093,5804.453196,3216.949922,9910.199459,78878.71835,51163.95331,45179.74993,0.0,0.0,29.13990482,1437.477777,0.0,0.0,1422.391551,10734.90627,26536.13884,8792.944543,50323.93972
5,VALLE DEL CAUCA,19VL01,RAMAL A DAGUA,Sur,Sur- Cali,Dagua,2,1405.90419,1.40590419,462.9335617,89.86775307,235.0182911,618.0845843,0.0,100.1364772,1305.767713,0.0,0.0,0.0,0.0,0.0,396.353367,1009.550823,0.0,0.0,0.0
6,VALLE DEL CAUCA,19VL02,CRUCE RUTA 1901 - BITACO - LA CUMBRE - PAVAS - RESTREPO,Centro - Sur,Centro Buga/ Sur- Cali,Restrepo - La Cumbre - Dagua,2,43608.32288,43.60832288,10943.47049,3389.818401,7217.516746,22057.51724,412.052494,9122.7971,32447.63514,93.38292002,1532.455221,0.0,0.0,0.0,5474.919236,28427.54696,8645.014668,1060.842014,0.0
7,VALLE DEL CAUCA,23VL02,YUMBO - LA CUMBRE,Sur,Sur- Cali,La Cumbre - Yumbo,2,16690.06297,16.69006297,4242.996951,3866.000773,4409.533092,4171.532142,0.0,95.8235713,98.09314821,92.76712196,16403.37912,0.0,0.0,0.0,4753.471372,8171.359846,3566.898578,198.3331618,0.0
8,VALLE DEL CAUCA,23VL04,VIJES - RESTREPO,Centro - Sur,Centro - Buga / Sur Cali,Restrepo - Vijes,2,28299.50462,28.29950462,12149.798,1710.165369,4412.307935,10027.23332,786.7886013,15823.08397,11281.08531,96.37427169,0.0,312.1724692,0.0,0.0,4753.247853,12304.69664,10356.3951,885.165024,0.0
9,VALLE DEL CAUCA,23VL09,ROLDANILLO - EL DOVIO,Centro- Norte,Centro - Tulua / Norte -Zarzal - Roldanillo,Roldanillo - El Dovio,2,21182.33772,21.18233772,6312.414399,1361.04042,4497.796564,9011.086337,0.0,404.4721988,16487.68527,0.0,4290.18025,0.0,0.0,0.0,5543.889131,13209.78195,2428.666635,0.0,0.0
10,VALLE DEL CAUCA,23VL10,SAN LUIS - LA UNION - QUEBRADAGRANDE,Norte,Norte -Zarzal - Roldanillo,La Union,2,15035.8095,15.0358095,3484.222675,1035.473456,2338.442825,8177.670547,0.0,0.0,13939.60243,0.0,1096.20707,0.0,0.0,0.0,2816.325524,5910.914383,5203.537782,1105.031815,0.0
11,VALLE DEL CAUCA,23VL13,TRUJILLO - RIO FRIO,Centro,Centro - Tulua,Trujillo - Riofrio,2,10754.95906,10.75495906,2965.271809,454.8649896,1050.794474,6284.027792,0.0,0.0,10444.55462,0.0,310.4044461,0.0,0.0,0.0,10144.01362,509.8044733,101.1409753,0.0,0.0
12,VALLE DEL CAUCA,23VL13-1,DARIEN - FENICIA - TRUJILLO,Centro,Centro Tulua / Centro - Buga,Darien - Riofrio - Trujillo,3,72547.63019,72.54763019,24847.43577,5893.262119,16484.19027,25322.74203,193.6795444,44191.75861,20866.02492,98.99802492,3426.549288,3770.61981,0.0,0.0,14270.19388,49833.50654,8237.657014,206.2727514,0.0
13,VALLE DEL CAUCA,23VL13-2,TRUJILLO - LA TULIA - ROLDANILLO,Centro- Norte,Centro - Tulua / Norte -Zarzal - Roldanillo,Trujillo- Bolivar-Roldanillo,2,46548.083,46.548083,15727.41853,4341.435524,8030.89096,18448.33798,0.0,13223.41044,31623.82996,0.0,1062.335566,638.5070295,0.0,0.0,3399.626713,33132.38719,9293.237186,722.831903,0.0
14,VALLE DEL CAUCA,23VL13-3,VERSALLES - ARGELIA,Norte,Norte - Cartago,Argelia,3,41176.56838,41.17656838,15419.36763,3749.675388,7522.270243,14485.25511,0.0,27040.48914,11473.46048,100.2707198,2030.070319,532.2777213,0.0,0.0,10951.47432,26472.4749,3158.254278,594.3648726,0.0
